,beekin_id,latitude,longitude,baths,beds,sqft,posted_at,property_type,price,city,blockgroup,days_since_2014,trans_log_price
1026,15eee2c104,42.523648,-114.474076,3.0,3.0,1449.0,2022-02-02,2.0,1575.0,Falls,160830012002,2954,0.5829740248572357
1027,b44f5cf2b8,42.523648,-114.474076,3.0,3.0,1449.0,2022-01-23,0.0,1575.0,Falls,160830012002,2944,0.5829740248572357
1028,b44f5cf2b8,42.523648,-114.474076,3.0,3.0,1449.0,2022-01-25,0.0,1575.0,Falls,160830012002,2946,0.5829740248572357
1029,b44f5cf2b8,42.523648,-114.474076,3.0,3.0,1449.0,2022-01-26,0.0,1575.0,Falls,160830012002,2947,0.5829740248572357
1030,b44f5cf2b8,42.523648,-114.474076,3.0,3.0,1449.0,2022-01-28,0.0,1575.0,Falls,160830012002,2949,0.5829740248572357
1031,b44f5cf2b8,42.523648,-114.474076,3.0,3.0,1449.0,2022-01-29,0.0,1575.0,Falls,160830012002,2950,0.5829740248572357
1032,b44f5cf2b8,42.523648,-114.474076,3.0,3.0,1449.0,2022-01-31,0.0,1575.0,Falls,160830012002,2952,0.5829740248572357
1033,b44f5cf2b8,42.523648,-114.474076,3.0,3.0,1449.0,2022-02-02,0.0,1575.0,Falls,160830012002,2954,0.5829740248572357
1034,6293624142,42.523648,-114.474076,3.0,3.0,1449.0,2022-01-25,2.0,1575.0,Falls,160830012002,2946,0.5829740248572357
1035,6293624142,42.523648,-114.474076,3.0,3.0,1449.0,2022-01-26,2.0,1575.0,Falls,160830012002,2947,0.5829740248572357
1036,6293624142,42.523648,-114.474076,3.0,3.0,1449.0,2022-01-27,2.0,1575.0,Falls,160830012002,2948,0.5829740248572357
1037,6293624142,42.523648,-114.474076,3.0,3.0,1449.0,2022-01-29,2.0,1575.0,Falls,160830012002,2950,0.5829740248572357
1038,6293624142,42.523648,-114.474076,3.0,3.0,1449.0,2022-01-31,2.0,1575.0,Falls,160830012002,2952,0.5829740248572357
1039,416585b929,43.495738,-112.08825,2.0,3.0,1430.0,2022-01-23,0.0,1399.0,Falls,160199713024,2944,0.07934212026580398
1040,416585b929,43.495738,-112.08825,2.0,3.0,1430.0,2022-01-25,0.0,1399.0,Falls,160199713024,2946,0.07934212026580398
1041,416585b929,43.495738,-112.08825,2.0,3.0,1430.0,2022-01-26,0.0,1399.0,Falls,160199713024,2947,0.07934212026580398
1042,416585b929,43.495738,-112.08825,2.0,3.0,1430.0,2022-01-29,0.0,1399.0,Falls,160199713024,2950,0.07934212026580398
1043,416585b929,43.495738,-112.08825,2.0,3.0,1430.0,2022-01-30,0.0,1399.0,Falls,160199713024,2951,0.07934212026580398
1044,9c6a0fbcc5,43.492661,-112.040758,2.0,3.0,1448.0,2022-01-23,0.0,1699.0,Falls,160199712004,2944,0.9050694518888683
1045,9c6a0fbcc5,43.492661,-112.040758,2.0,3.0,1448.0,2022-01-25,0.0,1699.0,Falls,160199712004,2946,0.9050694518888683
1046,9c6a0fbcc5,43.492661,-112.040758,2.0,3.0,1448.0,2022-01-26,0.0,1699.0,Falls,160199712004,2947,0.9050694518888683
1047,9c6a0fbcc5,43.492661,-112.040758,2.0,3.0,1448.0,2022-01-28,0.0,1699.0,Falls,160199712004,2949,0.9050694518888683
1048,9c6a0fbcc5,43.492661,-112.040758,2.0,3.0,1448.0,2022-01-29,0.0,1699.0,Falls,160199712004,2950,0.9050694518888683
1049,9c6a0fbcc5,43.492661,-112.040758,2.0,3.0,1448.0,2022-01-31,0.0,1699.0,Falls,160199712004,2952,0.9050694518888683
1050,9c6a0fbcc5,43.492661,-112.040758,2.0,3.0,1448.0,2022-02-02,0.0,1699.0,Falls,160199712004,2954,0.9050694518888683
1051,0d08d55df5,43.52612,-111.961735,3.0,3.0,1463.0,2022-01-24,0.0,1599.0,Falls,160199704021,2945,0.6472496572032744
1052,36ab18187e,43.551727,-111.925011,3.0,2.0,1100.0,2022-01-27,0.0,1200.0,Falls,160199704021,2948,-0.5727837466337163
1053,36ab18187e,43.551727,-111.925011,3.0,2.0,1100.0,2022-01-29,0.0,1200.0,Falls,160199704021,2950,-0.5727837466337163
1054,36ab18187e,43.551727,-111.925011,3.0,2.0,1100.0,2022-01-30,0.0,1200.0,Falls,160199704021,2951,-0.5727837466337163
1055,36ab18187e,43.551727,-111.925011,3.0,2.0,1100.0,2022-01-31,0.0,1200.0,Falls,160199704021,2952,-0.5727837466337163
1056,36ab18187e,43.551727,-111.925011,3.0,2.0,1100.0,2022-02-01,0.0,1200.0,Falls,160199704021,2953,-0.5727837466337163
1127,89db30d9b6,43.557818,-116.588556,2.0,3.0,1706.0,2022-04-29,1.0,2395.0,Nampa,160270205031,3040,2.3643286999203834
1128,89db30d9b6,43.557818,-116.588556,2.0,3.0,1706.0,2022-05-01,1.0,2395.0,Nampa,160270205031,3042,2.3643286999203834
1129,89db30d9b6,43.557818,-116.588556,2.0,3.0,1706.0,2022-05-02,1.0,2395.0,Nampa,160270205031,3043,2.3643286999203834
1130,89db30d9b6,43.557818,-116.588556,2.0,3.0,1706.0,2022-05-03,1.0,2395.0,Nampa,160270205031,3044,2.3643286999203834
1131,11b48c6d85,43.590514,-116.548564,2.0,3.0,1038.0,2022-04-29,3.0,1575.0,Nampa,160270204014,3040,0.5829740248572357
1132,6ad47e0fd2,43.598543,-116.614478,2.0,2.0,929.0,2022-04-29,3.0,1400.0,Nampa,160270210022,3040,0.08237902299234456
1133,85afa55b8d,43.588548,-116.559883,2.0,3.0,1735.0,2022-04-29,1.0,1775.0,Nampa,160270202001,3040,1.0910582712766668
1134,50281c2263,43.54754,-116.556668,2.0,3.0,1309.0,2022-04-29,1.0,1800.0,Nampa,160270205043,3040,1.15050183026129
1135,24276be42e,43.581759,-116.574955,1.0,2.0,700.0,2022-04-29,3.0,1200.0,Nampa,160270206022,3040,-0.5727837466337163
1136,6a0b30bb2b,43.562228,-116.549614,2.0,4.0,1619.0,2022-04-29,1.0,2175.0,Nampa,160270204021,3040,1.9548078038170922
1137,ab91b7aa45,43.61562,-116.619014,2.0,2.0,1000.0,2022-04-29,1.0,1500.0,Nampa,160270210023,3040,0.3756087435391392
1138,eef3f1465b,43.564798,-116.567635,1.0,1.0,648.0,2022-04-29,1.0,1095.0,Nampa,160270204024,3040,-0.9619576132963389
1139,aeb7f07e20,43.556625,-116.567644,1.0,3.0,1064.0,2022-04-29,1.0,1845.0,Nampa,160270205042,3040,1.255449018766327
1140,ed3c7f240a,43.556972,-116.566787,1.0,1.0,450.0,2022-04-29,3.0,1225.0,Nampa,160270205042,3040,-0.48514878241170967
1141,e4ebf9ee47,43.591388,-116.614077,2.0,3.0,1466.0,2022-04-29,1.0,2675.0,Nampa,160270210022,3040,2.834250887773959
1142,b388a750f9,43.574915,-116.619986,2.0,3.0,1866.0,2022-04-29,1.0,2150.0,Nampa,160270209021,3040,1.9056726301549853
1143,d2c820c84e,43.60551,-116.549614,2.0,3.0,1095.0,2022-04-29,2.0,1495.0,Nampa,160270211003,3040,0.3614179284024556
1144,1ee6bab0cf,43.552094,-116.56817,1.0,2.0,866.0,2022-04-29,2.0,1100.0,Nampa,160270205042,3040,-0.9425947315828902
1145,10768a2c94,43.613742,-116.522357,2.0,3.0,1102.0,2022-04-30,1.0,2150.0,Nampa,160270211002,3041,1.9056726301549853
1146,1daf8f06c1,43.563258,-116.59821,3.0,3.0,1486.0,2022-04-30,1.0,1995.0,Nampa,160270209021,3041,1.587660651725386
1147,fb13cf1c84,43.558386,-116.555975,2.0,3.0,1097.0,2022-04-30,1.0,1800.0,Nampa,160270205041,3041,1.15050183026129
1148,0631cc07af,43.566134,-116.57478,1.0,1.0,816.0,2022-04-30,3.0,1100.0,Nampa,160270204025,3041,-0.9425947315828902
1149,01504da439,43.615956,-116.549913,2.0,3.0,1466.0,2022-04-30,1.0,2050.0,Nampa,160270211003,3041,1.7032465070742915
1150,324d0b9178,43.582983,-116.590765,1.0,2.0,828.0,2022-04-30,3.0,1195.0,Nampa,160270206026,3041,-0.5905296813293901
1151,01d27b6c42,43.60551,-116.549616,2.0,3.0,1095.0,2022-04-30,3.0,1495.0,Nampa,160270211003,3041,0.3614179284024556
1152,242bfd744c,43.552096,-116.568172,1.0,2.0,866.0,2022-04-30,3.0,1100.0,Nampa,160270205042,3041,-0.9425947315828902
1153,2efc33bf02,43.575818,-116.544327,2.0,2.0,978.0,2022-04-30,2.0,1375.0,Nampa,160270204012,3041,0.005797758589965298
1154,8ea5e34d6c,43.594627,-116.56973,3.0,3.0,1573.0,2022-04-30,0.0,1865.0,Nampa,160270202001,3041,1.3012731304319591
1155,e9e503a7c2,43.584315,-116.606276,2.0,3.0,1216.0,2022-04-30,1.0,1700.0,Nampa,160270206011,3041,0.90757027289951
1156,d9ee7fa4cd,43.540481,-116.544419,2.0,3.0,1248.0,2022-04-30,1.0,1800.0,Nampa,160270209012,3041,1.15050183026129
1157,cbe5d0915f,43.582869,-116.601623,2.0,3.0,1200.0,2022-04-30,0.0,1700.0,Nampa,160270206011,3041,0.90757027289951
